V1,V2,V3,V4,V5,V6,V8,V9,V10,V11,V12,V14,V15,V16,V18,V19,V20,V21,V22,V23,V24,V25,V27,V28,V29,V30,V31,V32,V33,V35,V36,V37,V38,V39
129.62,283.08,167.65,118.73,153.43,225.55,206.3,147.49,148.11,148.44,143.27,123.19,198.5,148.29,115.92,143.02,155.61,235.67,127.21,149.5,180.66,159.31,166.9,141.75,151.94,230.84,93.94,159.13,156.08,162.62,129.62,112.52,181.1,196.96
144,278.05,188.1,118.73,153.03,132.34,184.82,164.46,168.4,242.89,148.61,128.26,236.63,160.64,118.52,155.62,161.78,347.32,150.56,145.69,197.31,191.27,168.62,148.57,159.2,237.21,100.82,195.82,184.27,199.96,153.04,136.73,179.06,236.71
239.75,273.02,277.06,142.07,210.14,226.9,252.84,276.56,255.52,393.58,250.57,203.51,332.18,225.905,192.39,260.31,228.75,454.74,149.31,229.49,294.59,287.32,257.38,216.89,256.45,301.02,165.6,310.45,339.68,310.97,231.21,191.38,235.17,334.46
268.56,267.99,334.42,178.17,222.32,271.23,310.68,277.72,300.68,463.9,336.79,264.59,406.57,291.17,233.32,305.07,286.52,473.46,161.33,229.5,374.28,347.97,333.35,246.31,319.47,338.62,213.3,395.99,392.22,509.11,252.08,218.38,289.19,389.94
324.07,262.96,390.71,298.52,322.34,282.31,332.64,349,343.24,523.18,377.73,313.26,425.38,392.12,276.26,343.8,350.78,407.17,230.52,284.53,442.06,442.11,385.62,316.04,377.08,378.84,250.97,462.31,408.2,512.84,337,305.38,366.9,445
321.82,257.93,334.96,297.42,461.56,267.9,291.85,355.23,322.79,432.64,304.44,298.43,388.92,351.38,245.21,322.32,277.07,356.81,275.12,402.38,403.82,399.08,394.15,311.68,308.89,289.58,183.44,381.63,396.57,508.29,345.04,270.33,371.1,457.23
238.61,252.9,237.25,177.17,259.45,194.77,151.3,245.48,199.99,243.01,180.07,211.01,252.38,229.54,190.96,213.89,237.54,230.35,196.6,275.02,226.28,289.2,221.88,211.97,226.86,214.28,156.36,413.73,238.68,195.71,255.67,204.96,244.33,319
157.47,247.87,219.42,137.29,200.23,175.74,154.01,192.32,165.18,225.87,165.81,193.93,236.06,190.56,186.95,176.47,233.56,343.79,138.38,187.64,200.86,266.46,177.25,170.35,208.1,239.32,135.61,305.6,209.56,170.56,191.25,158.19,194.48,258.98
157.58,240.1,192.65,130.57,175.73,147.95,138.02,179,178.75,223.04,147.98,156.4,209.5,173.46,133.16,163.3728571,194.05,315.84,168.39,157.66,191.95,217.03,180.71,157.51,178.26,235.6,151.2,190.17,165.1,209.43,161.58,164.56,188.78,218.5
156.95,272.69,195.83,102.83,182.21,151.49,116.69,188.06,166.54,244.66,130.37,136.63,227.04,174.71,113.32,150.2757143,179.61,395.92,129.58,153.09,193.88,192.82,184.9,146.31,175.46,214.77,166.79,169.94,181.5,203.78,160.99,139.96,186.48,233.67
171.77,248.14,200.56,164.94,234.78,191.85,93.51,214.27,190.02,279.78,192.875,160.36,224.25,216.17,182.195,137.1785714,207.22,307.73,153.66,206.2,217.25,288.52,220.67,172.42,184.08,183.65,182.38,141.52,201.98,241.34,216.31,182.33,202,289.06
196.44,300.69,264.32,227.05,289.25,232.21,133.5,242.48,203.65,295.7,255.38,233.22,261,257.42,251.07,124.0814286,250.47,226.21,178.46,288.35,321.03,384.22,257.03,206.15,256.18,260.88,197.97,264.49,269.2,285.24,248.33,180.88,253.29,317.22
119.78,204.35,189.49,142.69,168.65,141.37,88.87,176.63,159.51,209.03,178.1,166.95,182.18,200.14,156.25,110.9842857,201.75,135.83,175.77,181.28,179.46,222.41,175.9,152.86,214.05,191.14,126.45,209.26,174.67,195.63,201.76,152.25,187.54,274.96
150.33,252.04,213.21,138.2,233.29,154.76,105.72,190.5,150.9,273.47,178.19,148.63,213.22,209.49,142.17,97.88714286,176.19,141.48,131.31,207.46,195.27,251.67,213.69,160.01,182.97,154.63,110.21,203.1,211.77,227.38,254.66,142.46,241.68,333.59
112.37,251.92,155.62,96.54,148.8,108.3,97.76,142.74,141.94,151.6,114.6,114.21,187.88,145.05,105.92,84.79,155.19,118.65,89.44,128.73,144.92,170.06,166.08,127.93,127.64,179.38,94.22,167.62,131.09,191.73,136.14,112.33,162.15,187.58
98.8,168.36,143.48,73.64,154.1,84.71,68,134.08,113.17,158.5,94.46,79.85,184,106.82,65.05,88.57,127.49,126.28,119.88,108.97,116.54,113.18,161.7214286,95.8,110.36,153.98,55.83,152.55,125.34,152.32,96.49,105.17,116.06,168.06
145.95,213.3,180.03,106.44,204.07,124.9,114.51,183.15,156.29,278.96,142.64,118.93,213.58,177.46,114.48,152.46,160.49,129.57,192.59,179.67,188.48,170.79,157.3628571,125.46,155.02,196.82,94.84,204.5,189.49,230.26,137.76,133.81,162.93,188.81
172.53,229.35,174.91,111.68,215.46,135.49,108.55,188.28,153.95,220.26,136.05,140.53,181.65,175.58,113.95,158.66,159.69,113.12,91.84,196.52,170.94,198.52,153.0042857,157.15,180.68,145.09,91.83,189.8,203.17,265.63,191.36,148.12,227.29,219.09
83.45,161.39,139.78,90.99,150.02,96.94,58.54,122.93,88.25,163.65,106.82,102.1,135.88,124.88,95.06,129.02,132.08,77.43,114.92,158.98,124.59,144.51,148.6457143,96.85,129.46,126.83,73.02,116.49,138.23,146,148.39,102.82,143.96,212.12
